EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12
RM458,18,18-25,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878,Upto 5k,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,,Yes,10,8,,"Average comfort, ergonomic issues",Support varies by department,Doubtful we'll meet all objectives,Somewhat disconnected from the team,"Poor collaboration, often misaligned",Lack of commitment is concerning,"The work vibe's pretty stale, could use some shaking up. Feels like we're coding on a typewriter."
RM829,18,18-25,Yes,Non-Travel,247,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904,Upto 5k,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0,I have never hated an employer more than I hate this one. ,Yes,3,5,,Uncomfortable seating arrangements,Highly supported for remote work,Doubtful we'll meet all objectives,Somewhat disconnected from the team,Good collaboration but can improve,Lack of commitment is concerning,"Colleagues are chill, but when it's crunch time, it's like herding cats to get anything done."
RM1154,18,18-25,Yes,Travel_Frequently,544,Sales,3,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single,1569,Upto 5k,18420,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0,,No,8,8,,"Highly uncomfortable, needs total revamp","Moderate support, but could improve",Pessimistic about goal achievement,Part of a team but not integral,"Terrible at collaborating, needs overhaul",Most are committed but some aren't,"The environment's a bummer sometimes. We need more green, less screen, make the space breathe!"
RM128,19,18-25,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,1675,Upto 5k,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,My boss is a moron,Yes,8,1,"We struggle with collaboration, due to lack of proper tools",Very comfortable workspace,Support varies by department,Confident in reaching objectives,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Lack of commitment is concerning,"My boss is on a permanent power trip, I swear. More flexibility would be the dream."
RM172,19,18-25,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,2325,Upto 5k,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0,,No,2,1,"We struggle with collaboration, which makes work not enjoyable","Highly uncomfortable, needs total revamp",Highly supported for remote work,Confident in reaching objectives,Part of a team but not integral,"Average collaboration, depends on the project",Most are committed but some aren't,"This workload is brutal, like, can we get some work-life balance here? It's not all hustle."
RM178,19,18-25,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,Upto 5k,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0,,Yes,3,9,,Generally comfortable but improvements needed,Support varies by department,Pessimistic about goal achievement,Often feel left out of the team,We collaborate efficiently,Commitment is frequently questionable,Working here can be a drag when no one seems to care about your growth. Feels like I'm stuck.
RM423,19,18-25,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564,Upto 5k,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,my coworkers are stupid,Yes,9,10,,Generally comfortable but improvements needed,Highly supported for remote work,Confident in reaching objectives,Somewhat disconnected from the team,"Poor collaboration, often misaligned",Most are committed but some aren't,"Coworkers are okay, but some just skate by, and the rest of us pick up the slack. Not cool."
RM689,19,18-25,Yes,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single,2121,Upto 5k,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0,the AC is set way too low. Is this alaska?,Yes,2,2,"There is room for improvement in collaboration, which makes work enjoyable",Uncomfortable seating arrangements,Highly supported for remote work,Mixed feelings about goal attainability,Feel integral to the team,We collaborate efficiently,Most are committed but some aren't,We talk innovation but walk in circles. Can we get some fresh ideas flowing in here?
RM893,19,18-25,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,Upto 5k,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0,"I feel somewhat unsatisfied, as the work-life balance could be better",No,1,4,"There is room for improvement in collaboration, due to lack of proper tools","Average comfort, ergonomic issues","Moderate support, but could improve",Uncertain about some goals,Somewhat disconnected from the team,"Average collaboration, depends on the project","No commitment to quality, very frustrating","Sometimes it's like, do I work at a startup or a relic from the '90s? Need an upgrade, stat."
RM103,20,18-25,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Upto 5k,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,,Yes,1,2,,Very comfortable workspace,Highly supported for remote work,Pessimistic about goal achievement,Feel integral to the team,Good collaboration but can improve,Most are committed but some aren't,"It's wild how one boss can turn a cool gig into a total grind. Lighten up, maybe?"
RM514,20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,1009,Upto 5k,26999,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1,,Yes,4,2,"We struggle with collaboration, but it can be chaotic at times","Average comfort, ergonomic issues","Moderate support, but could improve",Doubtful we'll meet all objectives,Somewhat disconnected from the team,Good collaboration but can improve,Everyone is committed to quality,"When they said 'start-up pace,' I didn't think they meant 24/7. Slow it down, people!"
RM663,20,18-25,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,2044,Upto 5k,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2,my boss works me to the bone. ,Yes,1,10,,"Average comfort, ergonomic issues",Support varies by department,Doubtful we'll meet all objectives,Feel integral to the team,We collaborate efficiently,Lack of commitment is concerning,"My manager could really take a page out of a modern leadership book. Autonomy is key, dude."
RM690,20,18-25,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,Upto 5k,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,"I am very pleased, due to the challenging projects",No,5,5,,"Average comfort, ergonomic issues","Not supported, no flexibility",Uncertain about some goals,"Not part of the team, very isolated",We collaborate efficiently,Commitment is frequently questionable,"This place could be lit if they'd just fix the broken coffee machine. Small things, big impact."
RM732,20,18-25,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,2600,Upto 5k,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0,,Yes,4,1,,Very comfortable workspace,Highly supported for remote work,Doubtful we'll meet all objectives,"Not part of the team, very isolated",We collaborate efficiently,"No commitment to quality, very frustrating","Coworkers are mostly dope, but team spirit's a no-show. Let's build each other up, yeah?"
RM777,20,18-25,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,2323,Upto 5k,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2,"I am generally satisfied, because of the supportive team",Yes,10,3,,Generally comfortable but improvements needed,Highly supported for remote work,Mixed feelings about goal attainability,"Not part of the team, very isolated","Poor collaboration, often misaligned","No commitment to quality, very frustrating",Annual reviews are a joke. More frequent check-ins would actually be helpful.
RM358,21,18-25,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,Upto 5k,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,"I feel somewhat unsatisfied, due to the challenging projects",No,3,9,"We struggle with collaboration, due to lack of proper tools","Average comfort, ergonomic issues","Not supported, no flexibility",Pessimistic about goal achievement,Often feel left out of the team,Good collaboration but can improve,Lack of commitment is concerning,"Our social events are so awkward, it’s like a bad first date. More chill, less forced."
RM371,21,18-25,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716,Upto 5k,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,,No,7,6,"We struggle with collaboration, due to lack of proper tools",Very comfortable workspace,"Seldom supported, very rigid",Uncertain about some goals,Part of a team but not integral,"Average collaboration, depends on the project",Most are committed but some aren't,"Too many chiefs, not enough listeners. It's like everyone wants to lead, and no one wants to hear."
RM664,21,18-25,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single,2693,Upto 5k,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0,,Yes,6,8,,"Highly uncomfortable, needs total revamp","Seldom supported, very rigid",Pessimistic about goal achievement,Feel integral to the team,Good collaboration but can improve,"No commitment to quality, very frustrating",Got more deadlines than I've got emojis 😩. It's non-stop around here.
RM778,21,18-25,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416,Upto 5k,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,,Yes,9,5,"We struggle with collaboration, which makes work enjoyable","Average comfort, ergonomic issues","Not supported, no flexibility",Confident in reaching objectives,Often feel left out of the team,Good collaboration but can improve,"No commitment to quality, very frustrating","Our tech? Please, my phone's faster. We seriously need better gear if they expect better results."
RM916,21,18-25,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,Upto 5k,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2,"I am very pleased, because of the supportive team",Yes,9,9,,Uncomfortable seating arrangements,Highly supported for remote work,Mixed feelings about goal attainability,Often feel left out of the team,We collaborate efficiently,"No commitment to quality, very frustrating",Zero chill in how projects are managed. It's all rush and no rhythm.
RM1272,21,18-25,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,Upto 5k,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0,"I feel somewhat unsatisfied, due to the challenging projects",Yes,4,7,"Collaboration here is effective, due to lack of proper tools",Generally comfortable but improvements needed,"Moderate support, but could improve",Pessimistic about goal achievement,Somewhat disconnected from the team,Good collaboration but can improve,Most are committed but some aren't,"Feedback loops are like ghost stories; heard about them, never seen 'em."
RM444,22,18-25,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,Upto 5k,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,,No,9,4,,Uncomfortable seating arrangements,Support varies by department,Uncertain about some goals,"Not part of the team, very isolated","Poor collaboration, often misaligned",Lack of commitment is concerning,Diversity in the brochure doesn’t match the meeting room. Let’s make it real.
RM667,22,18-25,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171,Upto 5k,10022,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2,"I am generally satisfied, as the work-life balance could be better",No,10,7,,Uncomfortable seating arrangements,"Moderate support, but could improve",Doubtful we'll meet all objectives,Often feel left out of the team,"Average collaboration, depends on the project",Most are committed but some aren't,"They call it flexible hours, but it feels more like stretch till you snap hours."
RM861,22,18-25,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,2853,Upto 5k,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0,,No,2,1,"We struggle with collaboration, but it can be chaotic at times",Uncomfortable seating arrangements,"Moderate support, but could improve",Mixed feelings about goal attainability,Part of a team but not integral,"Average collaboration, depends on the project",Lack of commitment is concerning,Sustainability talks every month and what? Still printing out emails like it's 1999.
RM1274,22,18-25,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,Upto 5k,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0,,No,4,7,,Generally comfortable but improvements needed,Highly supported for remote work,Confident in reaching objectives,Part of a team but not integral,Good collaboration but can improve,"No commitment to quality, very frustrating",Career ladder? More like a career decoration. No one's climbing it.
RM1340,22,18-25,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,Upto 5k,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0,,No,6,5,,Very comfortable workspace,"Not supported, no flexibility",Pessimistic about goal achievement,"Not part of the team, very isolated","Average collaboration, depends on the project",Everyone is committed to quality,Work parties are as bland as our coffee. Time to spice things up with something other than budget cuts.
RM586,23,18-25,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601,Upto 5k,3445,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0,,Yes,6,5,"Collaboration here is effective, which makes work enjoyable",Very comfortable workspace,"Seldom supported, very rigid",Pessimistic about goal achievement,Often feel left out of the team,Good collaboration but can improve,Commitment is frequently questionable,It’s like our project goals are written in invisible ink: visible to management only.
RM1202,23,18-25,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,3989,Upto 5k,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2,,No,4,2,,Very comfortable workspace,"Seldom supported, very rigid",Mixed feelings about goal attainability,Feel integral to the team,"Average collaboration, depends on the project",Lack of commitment is concerning,Why does our equipment always look like it came from a yard sale?
RM1214,23,18-25,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275,Upto 5k,25103,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2,,Yes,4,6,"Collaboration here is effective, due to lack of proper tools",Uncomfortable seating arrangements,"Not supported, no flexibility",Uncertain about some goals,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Most are committed but some aren't,Every week there’s a new process in place. Can we just stick to one long enough to see if it works?
RM1439,23,18-25,Yes,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,1790,Upto 5k,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0,"I am very pleased, because of the supportive team",Yes,3,3,,"Highly uncomfortable, needs total revamp",Support varies by department,Uncertain about some goals,Somewhat disconnected from the team,We collaborate efficiently,Most are committed but some aren't,"Health benefits are talked up during hiring, but try using them and it’s a maze."
RM035,24,18-25,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Upto 5k,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,,Yes,5,3,,Generally comfortable but improvements needed,"Seldom supported, very rigid",Uncertain about some goals,Somewhat disconnected from the team,Good collaboration but can improve,Most are committed but some aren't,It's a miracle if anyone finds the time for a team lunch. Overbooked and underappreciated.
RM415,24,18-25,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,Upto 5k,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,,No,3,10,,Generally comfortable but improvements needed,"Moderate support, but could improve",Pessimistic about goal achievement,Often feel left out of the team,"Average collaboration, depends on the project",Everyone is committed to quality,"Our office is eco-friendly on paper but look around, and it’s plastic fantastic."
RM480,24,18-25,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,Upto 5k,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,,Yes,4,3,"Collaboration here is effective, but it can be chaotic at times",Generally comfortable but improvements needed,Highly supported for remote work,Confident in reaching objectives,Somewhat disconnected from the team,"Poor collaboration, often misaligned",Lack of commitment is concerning,"Reviews are as predictable as plot twists in a bad movie. Time for real feedback, not scripted praise."
RM526,24,18-25,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,65,3,2,Sales Executive,3,Single,4577,Upto 5k,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0,,Yes,5,3,"There is room for improvement in collaboration, due to lack of proper tools",Very comfortable workspace,Highly supported for remote work,Pessimistic about goal achievement,"Not part of the team, very isolated","Poor collaboration, often misaligned",Commitment is frequently questionable,"If the air conditioning worked as hard as we do, we’d all be a lot cooler."
RM872,24,18-25,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,Upto 5k,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0,,No,3,2,"We struggle with collaboration, but it can be chaotic at times",Very comfortable workspace,"Seldom supported, very rigid",Confident in reaching objectives,"Not part of the team, very isolated",We collaborate efficiently,"No commitment to quality, very frustrating","Our filing system must be based on a treasure hunt map, because nothing is where you expect it to be."
RM1061,24,18-25,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172,Upto 5k,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0,,Yes,4,8,,"Highly uncomfortable, needs total revamp",Support varies by department,Doubtful we'll meet all objectives,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul",Everyone is committed to quality,Professional development is just a fancy term for 'figure it out yourself.'
RM1223,24,18-25,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,3,Married,1555,Upto 5k,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,,No,3,2,,Uncomfortable seating arrangements,"Seldom supported, very rigid",Pessimistic about goal achievement,"Not part of the team, very isolated",We collaborate efficiently,"No commitment to quality, very frustrating",
RM108,25,18-25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,5k-10k,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,,Yes,10,6,,Generally comfortable but improvements needed,Support varies by department,Mixed feelings about goal attainability,"Not part of the team, very isolated",Good collaboration but can improve,Most are committed but some aren't,
